barabasi_250_5_0.01_0.0_exponential_0.0_1,151268,453804,145240,145240,3388,16106,32212,16106,1536,1536,44,1097142,3291426,207708,207708,4236,64165,128330,64165,4716,4716,148,1303093,3909279,357484,357484,10132,84415,168830,84415,10180,10180,256,2263566,6790698,472426,472426,10160,135803,271606,135803,14232,14232,440,2777811,8333433,740996,740996,17664,176896,353792,176896,21682,21682,632
barabasi_250_5_0.01_0.0_exponential_0.0_2,414754,1244262,147822,147822,2828,31306,62612,31306,2688,2688,84,763562,2290686,224212,224212,4708,53476,106952,53476,4872,4872,160,1112361,3337083,315394,315394,8108,58694,117388,58694,4048,4048,104,1227959,3683877,469350,469350,13884,82115,164230,82115,6482,6482,132,2221874,6665622,688238,688238,14792,158599,317198,158599,17940,17940,548
barabasi_250_5_0.01_0.0_exponential_0.0_3,301113,903339,155686,155686,4076,22596,45192,22596,2188,2188,56,1338222,4014666,197278,197278,4012,76339,152678,76339,5976,5976,124,706170,2118510,364792,364792,11136,54946,109892,54946,5968,5968,228,2374680,7124040,493254,493254,11732,133059,266118,133059,16738,16738,456,4881456,14644368,644000,644000,21564,264749,529498,264749,27518,27518,888
barabasi_250_5_0.01_0.0_exponential_0.0_4,787116,2361348,136416,136416,2332,49297,98594,49297,3756,3756,184,149184,447552,190500,190500,4476,15168,30336,15168,1308,1308,52,225387,676161,264460,264460,6496,17035,34070,17035,968,968,24,2652234,7956702,441412,441412,17384,146305,292610,146305,10494,10494,244,3725957,11177871,743070,743070,15384,238010,476020,238010,36638,36638,1340
barabasi_250_5_0.01_0.0_exponential_0.0_5,471836,1415508,181586,181586,5308,35205,70410,35205,4408,4408,172,250208,750624,221820,221820,6324,17515,35030,17515,1388,1388,12,412298,1236894,314674,314674,8172,36198,72396,36198,3730,3730,136,2404091,7212273,467412,467412,11292,143984,287968,143984,16178,16178,424,4026177,12078531,557968,557968,11540,232076,464152,232076,17842,17842,472
barabasi_250_5_0.01_0.0_exponential_0.0_6,367704,1103112,154560,154560,3544,24945,49890,24945,1962,1962,48,1595683,4787049,186298,186298,3392,89698,179396,89698,6898,6898,196,717011,2151033,367214,367214,8392,62311,124622,62311,8324,8324,336,672477,2017431,453156,453156,10488,52633,105266,52633,5228,5228,176,4267589,12802767,549676,549676,13556,230274,460548,230274,15394,15394,460
barabasi_250_5_0.01_0.0_exponential_0.0_7,197098,591294,151730,151730,3448,20955,41910,20955,2064,2064,80,500961,1502883,234626,234626,7188,33170,66340,33170,3288,3288,80,2372215,7116645,244704,244704,4748,122694,245388,122694,6994,6994,144,847798,2543394,503268,503268,11808,70127,140254,70127,8762,8762,332,5886225,17658675,557072,557072,9576,321762,643524,321762,33228,33228,1200
barabasi_250_5_0.01_0.0_exponential_0.0_8,246452,739356,155162,155162,3668,21702,43404,21702,2418,2418,68,248553,745659,232122,232122,6848,22632,45264,22632,1884,1884,60,1000637,3001911,366736,366736,7984,73799,147598,73799,10190,10190,472,1543479,4630437,509430,509430,11472,112012,224024,112012,14442,14442,560,3519133,10557399,589040,589040,10748,223677,447354,223677,20736,20736,640
barabasi_250_5_0.01_0.0_exponential_0.0_9,400706,1202118,163022,163022,4972,28283,56566,28283,2670,2670,72,1688036,5064108,183894,183894,4996,85596,171192,85596,5462,5462,100,400736,1202208,325408,325408,9284,35671,71342,35671,3702,3702,120,2903190,8709570,431526,431526,8796,169212,338424,169212,17280,17280,544,1835669,5507007,741414,741414,22096,115512,231024,115512,11144,11144,392
barabasi_250_5_0.01_0.0_exponential_0.0_10,130356,391068,149954,149954,4116,13149,26298,13149,1240,1240,64,211615,634845,200462,200462,4772,17639,35278,17639,1436,1436,28,1685974,5057922,299558,299558,6296,100441,200882,100441,8382,8382,248,824309,2472927,472658,472658,11376,67879,135758,67879,7122,7122,300,1242240,3726720,687606,687606,19728,86703,173406,86703,8292,8292,228
barabasi_250_5_0.01_0.0_exponential_0.0_11,176688,530064,139834,139834,3388,14330,28660,14330,1136,1136,16,964204,2892612,207042,207042,4348,58758,117516,58758,5140,5140,140,1310350,3931050,311072,311072,6180,81602,163204,81602,7296,7296,160,4305728,12917184,340322,340322,6612,216278,432556,216278,17196,17196,364,980957,2942871,717950,717950,26904,68225,136450,68225,5358,5358,160
barabasi_250_5_0.01_0.0_exponential_0.0_12,183100,549300,148168,148168,3544,15287,30574,15287,1786,1786,56,606227,1818681,228642,228642,8664,35329,70658,35329,2104,2104,52,1698914,5096742,286024,286024,5788,97377,194754,97377,8998,8998,240,1875883,5627649,480944,480944,9860,125242,250484,125242,14302,14302,528,3798393,11395179,641048,641048,14656,225029,450058,225029,23088,23088,656
barabasi_250_5_0.01_0.0_exponential_0.0_13,625179,1875537,145040,145040,2596,40353,80706,40353,3094,3094,80,359169,1077507,234456,234456,7252,27126,54252,27126,2166,2166,44,294884,884652,308134,308134,8968,23886,47772,23886,1692,1692,56,1126534,3379602,537358,537358,13284,94638,189276,94638,12126,12126,516,4544934,13634802,628474,628474,12048,259063,518126,259063,29550,29550,860
barabasi_250_5_0.01_0.0_exponential_0.0_14,101191,303573,138902,138902,3748,9072,18144,9072,676,676,16,2163724,6491172,157072,157072,2560,110343,220686,110343,8546,8546,268,445613,1336839,299704,299704,6356,39200,78400,39200,3508,3508,156,2538924,7616772,432266,432266,15492,119676,239352,119676,6268,6268,124,2456007,7368021,756356,756356,18756,162438,324876,162438,22196,22196,704
barabasi_250_5_0.01_0.0_exponential_0.0_15,82358,247074,133986,133986,3448,8666,17332,8666,682,682,40,313702,941106,250748,250748,8876,23623,47246,23623,1962,1962,36,410909,1232727,334004,334004,9188,36173,72346,36173,3756,3756,176,751503,2254509,469166,469166,13132,58637,117274,58637,4754,4754,156,2167954,6503862,823162,823162,33764,141836,283672,141836,17176,17176,540
barabasi_250_5_0.01_0.0_exponential_0.0_16,287866,863598,144684,144684,3844,19778,39556,19778,1600,1600,48,999560,2998680,228104,228104,6440,50295,100590,50295,3410,3410,112,1064190,3192570,362944,362944,10300,68437,136874,68437,6932,6932,192,1085302,3255906,535456,535456,17156,80970,161940,80970,8946,8946,288,2899629,8698887,647296,647296,13324,174172,348344,174172,16696,16696,492
