1,2,1,Jan
1,3,1,Jan
1,4,1,Jan
1,5,1,Jan
1,6,1,Jan
1,7,1,Jan
1,8,1,Jan
1,9,1,Jan
1,10,1,Jan
1,11,1,Jan
1,12,1,Jan
1,13,1,Jan
1,14,1,Jan
1,15,1,Jan
1,16,1,Jan
1,17,1,Jan
18,19,1,Jan
18,19,1,Jan
20,3,1,Jan
20,21,1,Jan
20,22,1,Jan
20,23,1,Jan
24,25,1,Jan
26,27,1,Jan
28,29,1,Jan
1,7,1,Jan
29,30,1,Jan
29,28,1,Jan
11,31,1,Jan
11,32,1,Jan
11,25,1,Jan
11,33,1,Jan
31,11,1,Jan
33,11,1,Jan
1,7,1,Jan
34,21,1,Jan
35,3,1,Jan
36,37,1,Jan
36,37,1,Jan
25,11,1,Jan
25,24,1,Jan
23,21,1,Jan
36,38,1,Jan
39,21,1,Jan
13,3,1,Jan
13,40,1,Jan
13,8,1,Jan
13,35,1,Jan
13,41,1,Jan
13,4,1,Jan
42,43,1,Jan
42,43,1,Jan
42,43,1,Jan
42,43,1,Jan
42,44,1,Jan
26,45,1,Jan
46,21,1,Jan
42,3,1,Jan
16,1,1,Jan
16,1,1,Jan
47,48,1,Jan
16,8,1,Jan
47,48,1,Jan
16,8,1,Jan
49,42,1,Jan
26,21,1,Jan
49,21,1,Jan
26,32,1,Jan
29,22,1,Jan
3,8,1,Jan
3,13,1,Jan
3,50,1,Jan
3,35,1,Jan
3,51,1,Jan
3,52,1,Jan
3,18,1,Jan
3,53,1,Jan
3,20,1,Jan
50,3,1,Jan
46,1,1,Jan
54,17,1,Jan
54,17,1,Jan
3,50,1,Jan
1,46,1,Jan
55,56,1,Jan
55,50,1,Jan
8,3,1,Jan
13,3,1,Jan
27,42,1,Jan
19,57,1,Jan
42,27,1,Jan
19,58,1,Jan
19,50,1,Jan
55,23,1,Jan
19,21,1,Jan
19,23,1,Jan
59,2,1,Jan
34,24,1,Jan
39,27,1,Jan
55,21,1,Jan
24,34,1,Jan
55,42,1,Jan
35,3,1,Jan
60,23,1,Jan
59,2,1,Jan
13,3,1,Jan
18,3,1,Jan
61,33,1,Jan
61,23,1,Jan
62,42,1,Jan
62,63,1,Jan
62,64,1,Jan
13,3,1,Jan
13,35,1,Jan
13,4,1,Jan
65,50,1,Jan
65,23,1,Jan
58,21,1,Jan
3,66,1,Jan
3,67,1,Jan
3,8,1,Jan
3,35,1,Jan
3,68,1,Jan
3,69,1,Jan
3,17,1,Jan
70,21,1,Jan
25,24,1,Jan
10,7,1,Jan
5,71,1,Jan
5,72,1,Jan
5,73,1,Jan
5,74,1,Jan
5,11,1,Jan
32,11,1,Jan
10,21,1,Jan
24,25,1,Jan
4,13,1,Jan
4,3,1,Jan
51,3,1,Jan
66,27,1,Jan
15,27,1,Jan
7,10,1,Jan
7,1,1,Jan
50,75,1,Jan
13,15,1,Jan
13,40,1,Jan
75,50,1,Jan
75,50,1,Jan
62,15,1,Jan
62,3,1,Jan
62,20,1,Jan
62,8,1,Jan
62,33,1,Jan
62,35,1,Jan
11,5,1,Jan
66,3,1,Jan
62,3,1,Jan
62,15,1,Jan
62,20,1,Jan
62,8,1,Jan
62,33,1,Jan
62,35,1,Jan
15,62,1,Jan
15,62,1,Jan
62,3,1,Jan
62,15,1,Jan
62,20,1,Jan
62,8,1,Jan
62,33,1,Jan
62,35,1,Jan
15,62,1,Jan
8,62,1,Jan
8,62,1,Jan
8,62,1,Jan
62,3,1,Jan
62,15,1,Jan
62,20,1,Jan
62,8,1,Jan
62,33,1,Jan
62,35,1,Jan
3,62,1,Jan
3,62,1,Jan
35,62,1,Jan
35,62,1,Jan
62,3,1,Jan
62,20,1,Jan
62,8,1,Jan
62,33,1,Jan
62,35,1,Jan
62,15,1,Jan
15,62,1,Jan
8,62,1,Jan
35,62,1,Jan
3,62,1,Jan
35,62,1,Jan
3,62,1,Jan
4,16,1,Jan
15,61,1,Jan
15,12,1,Jan
30,32,1,Jan
1,46,1,Jan
15,62,1,Jan
76,19,1,Jan
3,62,1,Jan
61,15,1,Jan
6,7,1,Jan
6,1,1,Jan
6,7,1,Jan
6,1,1,Jan
74,5,1,Jan
67,3,1,Jan
77,27,1,Jan
78,23,1,Jan
27,77,1,Jan
79,43,1,Jan
79,43,1,Jan
68,48,1,Jan
79,43,1,Jan
79,43,1,Jan
79,80,1,Jan
32,15,1,Jan
15,32,1,Jan
33,62,1,Jan
33,62,1,Jan
33,62,1,Jan
33,62,1,Jan
3,81,1,Jan
3,50,1,Jan
3,27,1,Jan
50,47,1,Jan
20,62,1,Jan
20,62,1,Jan
20,62,1,Jan
20,62,1,Jan
68,27,1,Jan
47,50,1,Jan
52,3,1,Jan
27,3,1,Jan
35,3,1,Jan
80,38,1,Jan
35,62,1,Jan
38,80,1,Jan
50,68,1,Jan
8,3,1,Jan
68,50,1,Jan
8,62,1,Jan
82,21,1,Jan
29,22,1,Jan
26,25,1,Jan
17,3,1,Jan
26,24,1,Jan
13,3,1,Jan
13,8,1,Jan
13,35,1,Jan
13,40,1,Jan
13,4,1,Jan
17,56,1,Jan
17,15,1,Jan
17,54,1,Jan
73,5,1,Jan
8,13,1,Jan
14,77,1,Jan
54,17,1,Jan
56,17,1,Jan
68,74,1,Jan
35,13,1,Jan
